scientificName
Echinacea purpurea
Rudbeckia hirta
Asclepias tuberosa
Monarda fistulosa
Solidago canadensis
Aster novae-angliae
Symphyotrichum novae-angliae
Liatris spicata
Coreopsis lanceolata
Penstemon digitalis
Aquilegia canadensis
Helianthus annuus
Lobelia cardinalis
Verbena hastata
Zizia aurea
Eryngium yuccifolium
Pycnanthemum muticum
Agastache foeniculum
Baptisia australis
Gaillardia aristata
Ratibida pinnata
Heliopsis helianthoides
Phlox paniculata
Salvia lyrata
Callirhoe involucrata
Ceanothus americanus
Cercis canadensis
Cornus florida
Viburnum dentatum
Prunus serotina
Amelanchier canadensis
Ilex verticillata
Rhododendron prinophyllum
Vaccinium corymbosum
Rosa carolina
Sambucus canadensis
Lavandula angustifolia
Thymus vulgaris
Rosmarinus officinalis
Salvia officinalis
Nepeta cataria
Melissa officinalis
Achillea millefolium
Lupinus perennis
Penstemon barbatus
Anemone canadensis
Geranium maculatum
Phlox subulata
Sedum telephium
Allium cernuum
